"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,2022 JIF,Eigenfactor
"CA-A CANCER JOURNAL FOR CLINICIANS","CA-CANCER J CLIN","0007-9235","1542-4863","ONCOLOGY - SCIE","254.7","0.085",
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","82.9","0.236",
"Nature Reviews Clinical Oncology","NAT REV CLIN ONCOL","1759-4774","1759-4782","ONCOLOGY - SCIE","78.8","0.048",
"NATURE REVIEWS CANCER","NAT REV CANCER","1474-175X","1474-1768","ONCOLOGY - SCIE","78.5","0.051",
"CELL","CELL","0092-8674","1097-4172","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","64.5","0.477",
"CHEMICAL REVIEWS","CHEM REV","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY - SCIE","62.1","0.184",
"LANCET ONCOLOGY","LANCET ONCOL","1470-2045","1474-5488","ONCOLOGY - SCIE","51.1","0.125",
"ANNALS OF ONCOLOGY","ANN ONCOL","0923-7534","1569-8041","ONCOLOGY - SCIE","50.5","0.108",
"CANCER CELL","CANCER CELL","1535-6108","1878-3686","ONCOLOGY - SCIE","50.3","0.076",
"NATURE METHODS","NAT METHODS","1548-7091","1548-7105","BIOCHEMICAL RESEARCH METHODS - SCIE","48","0.188",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY - SCIE","46.2","0.154",
"JOURNAL OF CLINICAL ONCOLOGY","J CLIN ONCOL","0732-183X","1527-7755","ONCOLOGY - SCIE","45.4","0.21",
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","CHEMISTRY, PHYSICAL - SCIE","41.2","0.118",
"Joule","JOULE","2542-4351","2542-4351","CHEMISTRY, PHYSICAL - SCIE","39.8","0.079",
"Signal Transduction and Targeted Therapy","SIGNAL TRANSDUCT TAR","2095-9907","2059-3635","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","39.3","0.033",
"Nature Catalysis","NAT CATAL","2520-1158","2520-1158","CHEMISTRY, PHYSICAL - SCIE","37.8","0.056",
"Molecular Cancer","MOL CANCER","N/A","1476-4598","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","37.3","0.041",
"Molecular Cancer","MOL CANCER","N/A","1476-4598","ONCOLOGY - SCIE","37.3","0.041",
"Nature Reviews Chemistry","NAT REV CHEM","N/A","2397-3358","CHEMISTRY, MULTIDISCIPLINARY - SCIE","36.3","0.027",
"Energy & Environmental Science","ENERG ENVIRON SCI","1754-5692","1754-5706","CHEMISTRY, MULTIDISCIPLINARY - SCIE","32.5","0.123",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, MULTIDISCIPLINARY - SCIE","29.4","0.442",
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","CHEMISTRY, PHYSICAL - SCIE","29.4","0.442",
"Cancer Discovery","CANCER DISCOV","2159-8274","2159-8290","ONCOLOGY - SCIE","29.1","0.066",
"Journal of Hematology & Oncology","J HEMATOL ONCOL","N/A","1756-8722","ONCOLOGY - SCIE","28.5","0.03",
"JAMA Oncology","JAMA ONCOL","2374-2437","2374-2445","ONCOLOGY - SCIE","28.4","0.079",
"SusMat","SUSMAT","2766-8479","2692-4552","CHEMISTRY, MULTIDISCIPLINARY - ESCI","28.4","0.002",
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","CHEMISTRY, PHYSICAL - SCIE","27.8","0.188",
"Molecular Plant","MOL PLANT","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","27.5","0.025",
"EnergyChem","ENERGYCHEM","2589-7780","2589-7780","CHEMISTRY, MULTIDISCIPLINARY - ESCI","25.1","0.003",
"Chem","CHEM-US","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY - SCIE","23.5","0.05",
"Nature Cancer","NAT CANCER","N/A","2662-1347","ONCOLOGY - SCIE","22.7","0.016",
"APPLIED CATALYSIS B-ENVIRONMENTAL","APPL CATAL B-ENVIRON","0926-3373","1873-3883","CHEMISTRY, PHYSICAL - SCIE","22.1","0.144",
"ACS Energy Letters","ACS ENERGY LETT","2380-8195","2380-8195","CHEMISTRY, PHYSICAL - SCIE","22","0.099",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY - SCIE","21.8","0.056",
"COORDINATION CHEMISTRY REVIEWS","COORDIN CHEM REV","0010-8545","1873-3840","CHEMISTRY, INORGANIC & NUCLEAR - SCIE","20.6","0.045",
"Carbon Energy","CARBON ENERGY","N/A","2637-9368","CHEMISTRY, PHYSICAL - SCIE","20.5","0.004",
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","ONCOLOGY - SCIE","20.4","0.04",
"Energy Storage Materials","ENERGY STORAGE MATER","2405-8297","2405-8289","CHEMISTRY, PHYSICAL - SCIE","20.4","0.059",
"SmartMat","SMARTMAT","2766-8525","2688-819X","CHEMISTRY, MULTIDISCIPLINARY - ESCI","20.4","0.002",
"RADIOLOGY","RADIOLOGY","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","19.7","0.052",
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","CHEMISTRY, MULTIDISCIPLINARY - SCIE","19","0.289",
