ACS Chemical Neuroscience
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"12,133","5.000","4.800","4.800","1.100","333","93.69","71.600",
2021,"12,168","5.780","5.520","5.420","1.053","393","90.59","77.053",
2020,"10,120","4.418","4.127","4.744","2.916","395","87.34","65.984",
2019,"6,881","4.486","4.065","4.484","1.088","441","85.94","77.103",
2018,"5,238","3.861","3.494","4.287","1.152","290","84.14","72.558",
2017,"4,336","4.211","3.830","4.621","1.155","265","89.81","80.525",
2016,"3,084","3.883","3.637","4.096","0.736","174","92.53","77.474",
2015,"2,574","4.348","4.050","4.510","0.974","191","85.34","81.925",
2014,"1,877","4.362","4.142","4.363","1.024","126","77.78","83.072",
2013,"1,259","4.210","3.864","4.393","1.098","153","86.27","80.694",
2012,"634","3.871","3.671","3.957","0.729","107","79.44","76.813",
2011,"310","3.676","3.380","3.676","0.696","69","73.91","73.907",
2010,"59","N/A","N/A","N/A","0.690","71","95.77","N/A",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
