BIOLOGICAL & PHARMACEUTICAL BULLETIN
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"12,837","2.000","1.900","2.300","0.400","235","89.36","21.800",
2021,"13,933","2.264","2.154","2.374","0.388","260","90.38","21.685",
2020,"13,483","2.233","2.183","2.309","0.466","281","90.75","23.732",
2019,"11,166","1.863","1.781","1.838","0.291","292","91.44","24.539",
2018,"11,033","1.540","1.467","1.751","0.302","265","90.19","19.663",
2017,"10,850","1.694","1.572","1.766","0.273","311","91.00","24.330",
2016,"10,744","1.683","1.621","1.870","0.272","287","96.17","27.432",
2015,"10,187","1.574","1.499","1.737","0.230","278","96.76","26.863",
2014,"10,296","1.828","1.769","1.920","0.192","287","97.91","37.059",
2013,"10,204","1.778","1.714","1.904","0.258","302","98.68","37.305",
2012,"10,094","1.849","1.760","1.998","0.202","342","98.25","37.739",
2011,"9,302","1.657","1.576","1.954","0.182","325","98.46","35.057",
2010,"8,551","1.811","1.702","1.957","0.249","362","99.17","39.484",
2009,"8,021","1.810","1.710","1.931","0.278","381","98.95","37.764",
2008,"7,236","1.765","1.639","1.903","0.226","438","98.63","37.671",
2007,"5,930","1.614","1.482","1.728","0.203","434","99.31","35.366",
2006,"5,068","1.522","1.346","N/A","0.201","498","97.59","37.437",
2005,"4,306","1.317","1.134","N/A","0.191","488","98.16","32.902",
2004,"3,680","1.392","1.197","N/A","0.161","422","97.39","38.235",
2003,"3,005","1.124","0.956","N/A","0.151","364","99.18","30.000",
2002,"2,784","1.038","0.864","N/A","0.166","350","96.86","33.777",
2001,"2,382","0.820","0.661","N/A","0.186","311","98.71","26.613",
2000,"2,213","0.885","0.743","N/A","0.177","327","98.17","29.558",
1999,"1,841","0.844","0.665","N/A","0.152","302","100.00","34.000",
1998,"1,536","0.823","0.653","N/A","0.111","305","100.00","39.045",
1997,"1,240","0.864","0.679","N/A","0.150","286","100.00","35.350",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
