BRAIN
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"65,110","14.500","13.900","14.600","2.900","473","91.33","97.200",
2021,"69,241","15.255","14.663","16.173","3.333","333","90.39","96.612",
2020,"64,627","13.501","12.900","14.250","4.145","249","92.37","96.938",
2019,"53,283","11.337","10.871","11.931","2.566","265","96.98","96.354",
2018,"52,970","11.814","11.247","11.773","2.912","227","94.71","96.652",
2017,"52,067","10.848","10.379","11.202","2.561","230","96.09","96.209",
2016,"48,061","10.292","9.785","10.767","2.483","238","96.64","96.685",
2015,"46,207","10.103","9.612","10.545","2.320","259","95.37","96.588",
2014,"44,379","9.196","8.879","10.418","2.422","244","94.26","95.889",
2013,"44,457","10.226","9.842","10.846","2.125","272","95.22","96.558",
2012,"41,189","9.915","9.482","10.870","2.261","280","95.71","96.949",
2011,"38,614","9.457","8.998","10.545","1.885","269","95.91","96.472",
2010,"35,378","9.232","8.829","10.143","1.530","283","97.17","96.918",
2009,"34,282","9.490","9.070","9.978","1.430","286","92.66","97.495",
2008,"31,310","9.603","9.153","9.808","1.593","275","92.00","97.049",
2007,"27,746","8.568","8.162","9.460","1.526","268","92.54","96.419",
2006,"26,132","7.617","7.208","N/A","1.605","276","92.39","95.775",
2005,"22,947","7.535","7.095","N/A","1.266","256","91.02","96.030",
2004,"20,990","8.201","7.757","N/A","1.221","235","93.62","97.570",
2003,"20,465","7.967","7.505","N/A","1.445","227","94.71","97.163",
2002,"18,669","7.122","6.711","N/A","1.296","196","94.39","96.284",
2001,"17,464","7.407","6.937","N/A","1.050","202","92.57","95.167",
2000,"16,725","7.303","6.829","N/A","0.889","199","91.96","96.127",
1999,"16,126","7.374","6.883","N/A","1.011","179","93.30","96.571",
1998,"13,582","5.952","5.356","N/A","0.865","171","92.40","96.306",
1997,"12,036","5.381","4.906","N/A","0.515","163","89.57","93.665",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
