Cancers
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"81,774","5.200","4.700","5.600","1.100","6,140","67.26","70.300",
2021,"56,338","6.575","5.773","6.886","1.198","6,092","65.97","75.714",
2020,"28,128","6.639","5.840","6.999","1.224","3,740","66.31","79.132",
2019,"10,442","6.126","5.492","6.433","1.037","2,020","64.46","85.041",
2018,"5,196","6.162","5.827","N/A","0.862","508","50.98","86.739",
2017,"3,897","5.326","5.222","N/A","1.136","169","24.26","80.045",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
