EJNMMI Research
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"2,875","3.200","3.100","3.300","0.600","77","94.81","61.100",
2021,"2,946","3.434","3.297","3.728","0.589","124","93.55","52.574",
2020,"2,253","3.138","3.004","3.471","0.425","153","97.39","56.015",
2019,"1,558","2.640","2.522","2.514","0.404","109","99.08","61.567",
2018,"1,408","3.000","2.855","2.680","0.321","112","99.11","69.380",
2017,"1,110","2.630","2.503","2.499","0.505","91","98.90","66.279",
2016,"844","2.033","1.902","2.376","0.455","88","100.00","53.937",
2015,"579","1.761","1.704","2.131","0.299","77","96.10","44.758",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
