EUROPEAN JOURNAL OF NEUROSCIENCE
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"25,080","3.400","3.200","3.300","0.600","282","85.82","50.200",
2021,"29,305","3.698","3.449","3.687","1.277","440","82.73","46.000",
2020,"27,894","3.386","3.221","3.374","1.329","517","81.82","42.308",
2019,"24,806","3.115","2.975","2.921","1.523","287","93.73","53.125",
2018,"25,695","2.784","2.697","3.023","1.193","275","92.73","46.255",
2017,"26,261","2.832","2.740","3.090","0.740","254","96.85","45.402",
2016,"26,124","2.941","2.828","3.288","0.584","274","97.08","51.158",
2015,"26,954","2.975","2.850","3.417","0.568","280","98.21","55.664",
2014,"27,855","3.181","3.038","3.705","0.658","348","87.07","57.341",
2013,"28,796","3.669","3.514","3.928","0.740","358","92.18","66.468",
2012,"28,381","3.753","3.626","3.879","0.638","359","90.81","68.849",
2011,"27,773","3.631","3.466","3.759","0.896","402","92.29","67.418",
2010,"26,729","3.658","3.525","3.812","0.564","424","94.10","67.992",
2009,"25,775","3.418","3.230","3.789","0.647","448","91.96","62.554",
2008,"25,084","3.385","3.244","4.001","0.471","546","96.70","67.647",
2007,"23,275","3.673","3.441","4.110","0.401","713","97.34","73.697",
2006,"20,835","3.709","3.482","N/A","0.485","707","97.45","73.750",
2005,"18,916","3.949","3.696","N/A","0.469","688","98.11","76.250",
2004,"16,736","3.820","3.495","N/A","0.543","727","98.21","79.040",
2003,"14,444","3.872","3.563","N/A","0.516","653","97.55","81.566",
2002,"12,633","4.163","3.910","N/A","0.362","489","98.57","83.503",
2001,"11,119","3.919","3.694","N/A","0.559","469","98.72","81.566",
2000,"9,936","3.862","3.600","N/A","0.503","473","97.89","83.498",
1999,"9,135","3.899","3.649","N/A","0.556","464","97.41","83.831",
1998,"7,469","3.820","3.584","N/A","0.598","403","97.77","85.891",
1997,"6,022","3.947","3.741","N/A","0.510","263","97.72","84.333",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
