European Journal of Pharmacology
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"40,230","5.000","5.000","4.600","1.100","568","97.71","79.000",
2021,"43,213","5.195","5.042","4.721","1.522","758","86.68","74.731",
2020,"39,242","4.432","4.332","4.014","1.097","650","89.69","69.022",
2019,"31,740","3.263","3.142","3.266","0.790","685","90.07","64.760",
2018,"31,232","3.170","3.046","3.120","0.806","557","90.48","66.105",
2017,"30,506","3.040","2.942","2.914","0.687","533","96.62","64.176",
2016,"30,303","2.896","2.774","2.730","0.526","587","95.57","62.062",
2015,"28,996","2.730","2.587","2.749","0.508","732","92.62","64.118",
2014,"28,837","2.532","2.398","2.672","0.512","650","92.31","55.882",
2013,"29,102","2.684","2.552","2.754","0.479","685","89.49","61.914",
2012,"29,239","2.592","2.475","2.778","0.378","545","98.35","59.962",
2011,"28,283","2.516","2.393","2.728","0.471","752","92.95","58.812",
2010,"27,148","2.737","2.611","2.587","0.394","681","97.21","64.484",
2009,"26,490","2.585","2.477","2.576","0.334","608","94.08","57.173",
2008,"27,204","2.787","2.588","2.730","0.422","900","93.67","64.612",
2007,"25,533","2.376","2.227","2.565","0.404","741","98.65","59.756",
2006,"24,836","2.522","2.333","N/A","0.350","755","94.04","64.070",
2005,"24,592","2.477","2.328","N/A","0.261","621","99.68","67.617",
2004,"24,635","2.432","2.214","N/A","0.305","771","92.87","68.717",
2003,"24,671","2.352","2.153","N/A","0.374","755","97.22","70.000",
2002,"24,754","2.342","2.144","N/A","0.225","734","95.78","72.606",
2001,"24,309","2.164","1.986","N/A","0.252","797","98.87","73.387",
2000,"25,453","2.236","2.015","N/A","0.269","968","97.52","75.967",
1999,"26,194","2.047","1.826","N/A","0.285","896","99.33","75.143",
1998,"26,229","1.992","1.758","N/A","0.173","956","98.33","81.180",
1997,"26,224","1.960","1.753","N/A","0.215","892","99.55","77.389",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
