Frontiers in Neuroscience
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"44,314","4.300","4.100","5.200","0.600","2,172","81.58","65.600",
2021,"38,212","5.152","4.917","5.582","0.739","1,731","79.43","68.182",
2020,"27,453","4.677","4.452","4.993","0.736","1,348","79.53","68.315",
2019,"17,394","3.707","3.484","4.229","0.557","1,379","79.99","64.522",
2018,"13,198","3.648","3.438","4.371","0.544","964","79.05","65.730",
2017,"9,487","3.877","3.694","4.294","0.475","706","83.57","70.690",
2016,"6,489","3.566","3.380","3.941","0.459","569","81.72","68.147",
2015,"4,322","3.398","3.200","N/A","0.529","463","64.79","65.820",
2014,"3,010","3.656","3.337","N/A","0.508","378","70.63","67.659",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
