Neurochemical Journal
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"253","0.500","0.400","0.400","0.200","61","59.02","2.400",
2021,"247","0.448","0.381","0.488","0.098","61","72.13","1.273",
2020,"210","0.480","0.380","0.455","0.105","57","87.72","2.015",
2019,"188","0.414","0.374","0.426","0.041","49","87.76","2.757",
2018,"163","0.298","0.213","0.349","0.020","51","72.55","2.060",
2017,"161","0.404","0.277","0.401","0.063","48","87.50","2.490",
2016,"121","0.340","0.227","0.319","0.087","46","86.96","2.124",
2015,"124","0.290","0.226","0.314","0.062","48","81.25","2.148",
2014,"77","0.303","0.213","0.229","0.041","49","89.80","2.976",
2013,"88","0.193","0.125","0.199","0.114","44","79.55","2.183",
2012,"78","0.235","0.165","0.239","0.067","45","88.89","2.183",
2011,"85","0.291","0.221","0.328","0.093","43","83.72","2.664",
2010,"64","0.151","0.057","0.288","0.024","42","85.71","3.556",
2009,"61","0.064","0.028","0.220","0.068","44","75.00","0.649",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
