NEUROSCIENCE
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"45,043","3.300","3.300","3.500","1.100","384","89.84","47.200",
2021,"52,150","3.708","3.651","3.923","1.341","475","84.84","46.727",
2020,"50,895","3.590","3.517","3.879","1.017","542","91.14","48.535",
2019,"44,404","3.056","2.963","3.343","0.909","593","91.74","50.184",
2018,"45,939","3.244","3.126","3.504","1.046","635","92.44","57.491",
2017,"45,498","3.382","3.256","3.362","0.900","668","94.61","59.962",
2016,"44,046","3.277","3.139","3.318","0.742","686","92.13","61.583",
2015,"42,297","3.231","3.053","3.204","0.666","908","93.83","63.086",
2014,"42,662","3.357","3.187","3.415","0.765","780","87.95","62.103",
2013,"42,326","3.327","3.136","3.458","0.645","815","90.43","58.929",
2012,"40,492","3.122","2.943","3.389","0.592","738","95.53","55.754",
2011,"40,083","3.380","3.176","3.458","0.581","852","95.77","61.680",
2010,"38,010","3.215","3.007","3.480","0.563","899","97.89","60.042",
2009,"35,878","3.292","3.094","3.520","0.828","921","85.88","61.255",
2008,"34,892","3.556","3.363","3.661","0.551","820","97.93","69.910",
2007,"32,897","3.352","3.139","3.563","0.627","829","95.90","68.009",
2006,"29,358","3.427","3.149","N/A","0.611","900","96.22","68.750",
2005,"29,819","3.410","3.194","N/A","0.555","717","96.79","70.250",
2004,"30,136","3.456","3.245","N/A","0.622","662","96.83","74.495",
2003,"28,593","3.601","3.358","N/A","0.521","728","97.80","77.525",
2002,"27,388","3.457","3.235","N/A","0.394","597","96.82","78.426",
2001,"27,130","3.219","2.988","N/A","0.381","567","98.59","74.495",
2000,"27,827","3.563","3.279","N/A","0.434","636","97.64","80.542",
1999,"27,415","3.924","3.553","N/A","0.564","917","97.93","84.328",
1998,"25,676","3.591","3.322","N/A","0.822","608","97.86","83.911",
1997,"23,995","3.594","3.237","N/A","0.623","608","97.86","80.333",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
