ORGANIC & BIOMOLECULAR CHEMISTRY
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"36,224","3.200","2.900","3.000","0.700","1,022","89.82","74.000",
2021,"39,972","3.890","3.606","3.464","1.022","1,172","85.24","77.679",
2020,"38,134","3.876","3.586","3.397","1.119","986","86.31","78.070",
2019,"34,096","3.412","3.133","3.135","1.142","1,155","92.29","78.070",
2018,"32,868","3.490","3.225","3.274","0.879","1,097","93.89","76.316",
2017,"30,329","3.423","3.149","3.138","0.892","1,187","94.78","72.807",
2016,"28,801","3.564","3.286","3.235","0.909","1,258","93.72","77.119",
2015,"26,764","3.559","3.284","3.367","1.029","1,297","94.83","77.119",
2014,"23,798","3.562","3.302","3.382","0.966","1,125","94.67","80.172",
2013,"21,187","3.487","3.258","3.389","0.923","960","99.69","78.448",
2012,"18,355","3.568","3.264","3.490","0.952","1,160","100.00","79.825",
2011,"15,667","3.696","3.393","3.652","0.894","1,061","100.00","81.250",
2010,"12,338","3.451","3.208","3.321","0.825","707","98.73","79.464",
2009,"10,931","3.762","3.501","3.319","0.774","658","97.11","83.333",
2008,"8,832","3.550","3.293","3.025","0.825","567","95.94","82.727",
2007,"6,941","3.167","2.990","2.853","0.826","466","95.49","81.250",
2006,"5,334","2.874","2.683","N/A","0.777","538","97.03","74.107",
2005,"3,429","2.547","2.354","N/A","0.793","603","97.35","70.000",
2004,"1,759","2.194","1.887","N/A","0.692","519","98.46","64.655",
2003,"335","N/A","N/A","N/A","0.523","635","99.06","N/A",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
