PSYCHOPHARMACOLOGY
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"22,687","3.400","3.200","3.700","1.000","251","89.64","50.900",
2021,"27,078","4.415","4.231","4.312","0.827","289","88.58","60.038",
2020,"26,454","4.530","4.295","4.077","0.824","352","95.45","69.292",
2019,"22,416","3.130","2.949","3.179","1.357","283","81.27","60.568",
2018,"23,565","3.424","3.206","3.300","0.869","283","90.46","66.580",
2017,"22,959","3.222","3.003","3.342","0.777","287","94.43","64.584",
2016,"23,655","3.308","3.061","3.477","0.728","338","93.49","67.910",
2015,"23,351","3.540","3.235","3.752","0.770","383","97.91","72.677",
2014,"24,703","3.875","3.477","3.974","0.952","399","90.48","76.594",
2013,"24,951","3.988","3.611","4.141","0.847","393","92.88","78.163",
2012,"24,104","4.061","3.623","4.285","0.816","385","95.58","79.113",
2011,"24,154","4.077","3.609","4.415","0.755","388","92.27","80.179",
2010,"22,528","3.817","3.503","4.148","0.563","268","96.27","77.116",
2009,"22,332","4.103","3.588","4.263","0.688","382","91.88","81.162",
2008,"21,318","3.676","3.311","4.182","0.544","333","93.99","74.723",
2007,"19,703","3.561","3.184","4.030","0.449","354","91.24","73.848",
2006,"17,877","3.625","3.235","N/A","0.397","353","92.35","75.464",
2005,"18,255","3.994","3.416","N/A","0.400","448","95.76","83.047",
2004,"16,241","3.146","2.667","N/A","0.419","353","94.33","76.273",
2003,"15,685","3.420","2.956","N/A","0.451","306","92.81","79.094",
2002,"15,216","3.275","2.734","N/A","0.430","316","93.67","81.852",
2001,"13,638","3.145","2.620","N/A","0.373","324","95.37","80.846",
2000,"14,124","2.804","2.394","N/A","0.365","288","94.79","79.482",
1999,"14,020","2.918","2.346","N/A","0.394","388","98.20","81.880",
1998,"13,561","3.032","2.507","N/A","0.342","310","96.77","84.419",
1997,"12,812","2.933","2.517","N/A","0.363","303","96.70","81.148",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
