SYNAPSE
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"3,123","2.300","2.300","2.100","0.600","27","92.59","21.100",
2021,"4,053","2.537","2.500","2.502","1.000","12","75.00","19.455",
2020,"4,073","2.562","2.356","2.500","1.265","49","95.92","26.557",
2019,"3,725","2.318","2.106","2.094","1.243","37","83.78","27.390",
2018,"3,956","2.545","2.475","2.138","0.583","36","97.22","35.768",
2017,"4,109","2.360","2.219","2.011","0.694","49","91.84","32.375",
2016,"4,361","2.132","2.007","2.010","0.720","50","96.00","29.537",
2015,"4,607","2.026","1.955","2.038","0.691","68","89.71","31.445",
2014,"4,816","2.127","2.041","2.284","0.618","68","100.00","32.738",
2013,"4,953","2.428","2.314","2.588","0.402","87","94.25","38.690",
2012,"5,127","2.310","2.175","2.551","0.482","110","97.27","37.103",
2011,"5,050","2.945","2.650","2.683","0.526","154","99.35","53.074",
2010,"5,116","2.925","2.715","2.638","0.632","114","100.00","54.184",
2009,"4,857","2.557","2.319","2.584","0.545","123","92.68","45.671",
2008,"4,928","2.577","2.431","2.729","0.681","116","97.41","48.190",
2007,"4,956","2.524","2.308","2.809","0.445","119","99.16","54.265",
2006,"4,552","2.870","2.636","N/A","0.496","127","98.43","60.250",
2005,"4,618","3.220","3.059","N/A","0.398","123","98.37","66.250",
2004,"4,545","2.827","2.586","N/A","0.474","116","99.14","63.384",
2003,"4,280","2.924","2.746","N/A","0.529","138","99.28","70.455",
2002,"4,084","2.631","2.379","N/A","0.461","128","99.22","66.751",
2001,"3,927","2.676","2.390","N/A","0.588","148","97.30","70.455",
2000,"3,966","3.402","3.199","N/A","0.538","158","97.47","79.064",
1999,"3,756","3.245","2.941","N/A","0.543","129","96.90","78.856",
1998,"3,353","2.915","2.621","N/A","0.567","127","99.21","77.970",
1997,"3,165","2.838","2.629","N/A","0.444","126","97.62","71.667",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
