Theranostics
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"38,919","12.400","12.200","12.300","2.600","431","80.51","94.500",
2021,"33,113","11.600","11.029","12.201","3.172","605","85.45","91.007",
2020,"23,558","11.556","10.018","11.629","2.787","765","87.06","93.929",
2019,"12,995","8.579","8.075","9.108","1.273","554","88.81","93.165",
2018,"8,769","8.063","7.503","8.651","1.565","425","90.59","93.015",
2017,"5,761","8.537","7.882","9.009","1.125","353","91.50","94.361",
2016,"4,091","8.766","8.210","9.222","1.497","171","89.47","94.141",
2015,"2,813","8.854","8.264","8.748","1.349","106","86.79","93.145",
2014,"1,850","8.022","7.436","8.005","1.779","95","83.16","92.276",
2013,"1,112","7.827","7.110","7.843","1.398","83","51.81","93.145",
2012,"428","7.806","5.581","7.806","1.989","93","50.54","93.802",
2011,"100","N/A","N/A","N/A","3.226","31","58.06","N/A",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
