Translational Psychiatry
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"19,301","6.800","6.600","7.000","1.200","498","85.54","81.600",
2021,"17,701","7.989","7.674","7.973","1.397","604","89.90","84.839",
2020,"13,269","6.222","5.995","7.097","1.111","413","89.83","84.936",
2019,"9,160","5.280","5.104","5.904","0.879","321","91.59","86.774",
2018,"7,313","5.182","5.018","5.681","0.745","282","93.26","88.014",
2017,"5,384","4.691","4.506","5.470","0.884","293","92.49","84.155",
2016,"3,895","4.730","4.488","5.601","0.696","273","94.51","84.859",
2015,"2,862","5.538","5.364","5.980","0.571","203","96.06","89.085",
2014,"1,919","5.620","5.453","5.681","0.801","141","96.45","88.929",
2013,"929","4.360","4.201","4.360","0.829","123","95.93","82.721",


Copyright (c) 2024 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
